 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py wait_iframe_and_switch_to_it [ line:85 ] 等待并且换到iframe-切换到登录iframe
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py wait_eleVisibility [ line:94 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py move_IntoView [ line:104 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_登录页面-输入用户名密码
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py input_keys [ line:45 ] 登录页面-输入用户名密码-输入文本
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_登录页面-输入用户名密码
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py input_keys [ line:45 ] 登录页面-输入用户名密码-输入文本
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py move_IntoView [ line:104 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py click_ele [ line:55 ] 登录页面-点击登录button-点击操作
 Thu, 29 Nov 2018 10:53:18  INFO BasePage.py wait_eleVisibility [ line:94 ] 等待index页面用户昵称中元素可见
 Thu, 29 Nov 2018 10:53:20  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:20  INFO BasePage.py move_IntoView [ line:104 ] 将index页面用户昵称的元素移动到可见区域
 Thu, 29 Nov 2018 10:53:20  INFO BasePage.py find_ele [ line:20 ] 查找元素_
 Thu, 29 Nov 2018 10:53:20  INFO BasePage.py get_text [ line:115 ] 获取index页面用户昵称文本信息
