 Sat, 01 Dec 2018 09:44:23  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:23  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Sat, 01 Dec 2018 09:44:24  INFO test_commonPage.py test_quit_login [ line:16 ] 退出登录
 Sat, 01 Dec 2018 09:44:24  INFO common_page.py quit_login [ line:16 ] 退出登录
 Sat, 01 Dec 2018 09:44:24  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Sat, 01 Dec 2018 09:44:31  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:31  INFO BasePage.py click_ele [ line:61 ] 退出登录-点击操作
 Sat, 01 Dec 2018 09:44:38  INFO quitedLogin_page.py get_quiteSuccess_msg [ line:15 ] 获取退出成功信息
 Sat, 01 Dec 2018 09:44:38  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sat, 01 Dec 2018 09:44:38  INFO BasePage.py get_text [ line:121 ] 获取获取退出成功信息文本信息
