 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Thu, 06 Dec 2018 15:45:18  INFO test_commonPage.py test_switch_tab_to_index [ line:47 ] 切换到首页tab中
 Thu, 06 Dec 2018 15:45:18  INFO common_page.py swtich_tab [ line:22 ] 切换tab
 Thu, 06 Dec 2018 15:45:18  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py click_ele [ line:61 ] -点击操作
 Thu, 06 Dec 2018 15:45:21  INFO common_page.py get_tabTitle [ line:35 ] 获取页面tab的title
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待获取页面tab的title中元素可见
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Thu, 06 Dec 2018 15:45:21  INFO BasePage.py get_text [ line:121 ] 获取获取页面tab的title文本信息
