 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py wait_iframe_and_switch_to_it [ line:91 ] 等待并且换到iframe-
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待登录页面-输入用户名密码中元素可见
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-输入用户名密码的元素移动到可见区域
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sun, 09 Dec 2018 17:09:31  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py find_ele [ line:26 ] 查找元素_登录页面-输入用户名密码
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py input_keys [ line:51 ] 登录页面-输入用户名密码-输入文本
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py move_IntoView [ line:110 ] 将登录页面-点击登录button的元素移动到可见区域
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py click_ele [ line:61 ] 登录页面-点击登录button-点击操作
 Sun, 09 Dec 2018 17:09:32  INFO test_index.py test_goto_draft [ line:78 ] 进入草稿箱页面
 Sun, 09 Dec 2018 17:09:32  INFO index_page.py goto_drafts [ line:36 ] 进入草稿箱列表
 Sun, 09 Dec 2018 17:09:32  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待进入草稿箱列表中元素可见
 Sun, 09 Dec 2018 17:09:33  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:33  INFO BasePage.py click_ele [ line:61 ] 进入草稿箱列表-点击操作
 Sun, 09 Dec 2018 17:09:34  INFO common_page.py get_current_tab [ line:35 ] 获取当前页面tab的title
 Sun, 09 Dec 2018 17:09:34  INFO BasePage.py wait_eleVisibility [ line:100 ] 等待中元素可见
 Sun, 09 Dec 2018 17:09:34  INFO BasePage.py find_ele [ line:26 ] 查找元素_
 Sun, 09 Dec 2018 17:09:34  INFO BasePage.py get_text [ line:121 ] 获取文本信息
